Nome,Data,ValorKB,ValorPC,ValorNE
Xbox Series S,2022-04-26 09:00:00,R$ 2320.01,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-26 09:00:00,R$ 2460.00,R$ 2660.00,R$ 4950.00
"TV Samsung T5300 43""",2022-04-26 09:00:00,R$ 2450.16,R$ 3000.00,R$ 960.96
Nintendo Switch,2022-04-26 09:00:00,R$ 2000.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-26 10:00:00,R$ 2320.01,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-26 10:00:00,R$ 3296.40,R$ 2660.00,R$ 3514.50
"TV Samsung T5300 43""",2022-04-26 10:00:00,R$ 2915.69,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-26 10:00:00,R$ 2000.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-26 11:00:00,R$ 2320.01,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-26 11:00:00,R$ 2460.00,R$ 2872.80,R$ 3514.50
"TV Samsung T5300 43""",2022-04-26 11:00:00,R$ 3000.00,R$ 1440.00,R$ 600.00
Nintendo Switch,2022-04-26 11:00:00,R$ 2000.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-26 12:00:00,R$ 2320.01,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-26 12:00:00,R$ 3911.40,R$ 3734.64,R$ 3514.50
"TV Samsung T5300 43""",2022-04-26 12:00:00,R$ 3000.00,R$ 2275.20,R$ 600.00
Nintendo Switch,2022-04-26 12:00:00,R$ 1040.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-26 13:00:00,R$ 2528.81,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-26 13:00:00,R$ 4771.91,R$ 5527.27,R$ 3514.50
"TV Samsung T5300 43""",2022-04-26 13:00:00,R$ 3000.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-26 13:00:00,R$ 1352.00,R$ 920.00,R$ 1680.00
Xbox Series S,2022-04-26 14:00:00,R$ 2750.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-26 14:00:00,R$ 6150.00,R$ 6650.00,R$ 3514.50
"TV Samsung T5300 43""",2022-04-26 14:00:00,R$ 3000.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-26 14:00:00,R$ 1352.00,R$ 920.00,R$ 1680.00
Xbox Series S,2022-04-26 15:00:00,R$ 1705.00,R$ 2500.00,R$ 2750.00
iPhone 11 64GB,2022-04-26 15:00:00,R$ 6150.00,R$ 4322.50,R$ 3000.00
"TV Samsung T5300 43""",2022-04-26 15:00:00,R$ 1200.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-26 15:00:00,R$ 1352.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-26 16:00:00,R$ 2421.10,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-26 16:00:00,R$ 4428.00,R$ 6650.00,R$ 3210.00
"TV Samsung T5300 43""",2022-04-26 16:00:00,R$ 1200.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-26 16:00:00,R$ 2000.00,R$ 1232.80,R$ 1620.00
Xbox Series S,2022-04-26 17:00:00,R$ 2750.00,R$ 2375.00,R$ 1100.00
iPhone 11 64GB,2022-04-26 17:00:00,R$ 2460.00,R$ 5719.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-26 17:00:00,R$ 1200.00,R$ 1260.00,R$ 804.00
Nintendo Switch,2022-04-26 17:00:00,R$ 2000.00,R$ 1109.52,R$ 1620.00
Xbox Series S,2022-04-26 18:00:00,R$ 2750.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-26 18:00:00,R$ 2460.00,R$ 5719.00,R$ 4440.00
"TV Samsung T5300 43""",2022-04-26 18:00:00,R$ 1200.00,R$ 1260.00,R$ 804.00
Nintendo Switch,2022-04-26 18:00:00,R$ 2000.00,R$ 920.00,R$ 1231.20
Xbox Series S,2022-04-26 19:00:00,R$ 1485.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-26 19:00:00,R$ 2460.00,R$ 6650.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-26 19:00:00,R$ 1332.00,R$ 1260.00,R$ 1061.28
Nintendo Switch,2022-04-26 19:00:00,R$ 840.00,R$ 1334.00,R$ 1883.74
Xbox Series S,2022-04-26 20:00:00,R$ 1485.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-26 20:00:00,R$ 2460.00,R$ 6650.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-26 20:00:00,R$ 1332.00,R$ 1260.00,R$ 1061.28
Nintendo Switch,2022-04-26 20:00:00,R$ 1436.40,R$ 2134.40,R$ 1883.74
Xbox Series S,2022-04-26 21:00:00,R$ 1100.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-26 21:00:00,R$ 2460.00,R$ 6650.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-26 21:00:00,R$ 1200.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-26 21:00:00,R$ 1436.40,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-26 22:00:00,R$ 1595.00,R$ 2500.00,R$ 1100.00
iPhone 11 64GB,2022-04-26 22:00:00,R$ 2460.00,R$ 6650.00,R$ 4350.00
"TV Samsung T5300 43""",2022-04-26 22:00:00,R$ 1200.00,R$ 1332.00,R$ 1500.00
Nintendo Switch,2022-04-26 22:00:00,R$ 1436.40,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-26 23:00:00,R$ 1100.00,R$ 1375.00,R$ 1100.00
iPhone 11 64GB,2022-04-26 23:00:00,R$ 2460.00,R$ 6650.00,R$ 4350.00
"TV Samsung T5300 43""",2022-04-26 23:00:00,R$ 1200.00,R$ 1784.88,R$ 1500.00
Nintendo Switch,2022-04-26 23:00:00,R$ 1364.58,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-27 00:00:00,R$ 1100.00,R$ 1375.00,R$ 1100.00
iPhone 11 64GB,2022-04-27 00:00:00,R$ 2460.00,R$ 6650.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-27 00:00:00,R$ 1332.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-27 00:00:00,R$ 800.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-27 01:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-27 01:00:00,R$ 3296.40,R$ 5519.50,R$ 3810.00
"TV Samsung T5300 43""",2022-04-27 01:00:00,R$ 2237.76,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-27 01:00:00,R$ 800.00,R$ 920.00,R$ 1650.00
Xbox Series S,2022-04-27 02:00:00,R$ 1903.00,R$ 1670.00,R$ 1287.00
iPhone 11 64GB,2022-04-27 02:00:00,R$ 4680.89,R$ 6650.00,R$ 4953.00
"TV Samsung T5300 43""",2022-04-27 02:00:00,R$ 3000.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-27 02:00:00,R$ 800.00,R$ 1453.60,R$ 1386.00
Xbox Series S,2022-04-27 03:00:00,R$ 2017.18,R$ 1670.00,R$ 2252.25
iPhone 11 64GB,2022-04-27 03:00:00,R$ 2460.00,R$ 6650.00,R$ 4953.00
"TV Samsung T5300 43""",2022-04-27 03:00:00,R$ 3000.00,R$ 1344.00,R$ 600.00
Nintendo Switch,2022-04-27 03:00:00,R$ 1376.00,R$ 1453.60,R$ 2162.16
Xbox Series S,2022-04-27 04:00:00,R$ 2017.18,R$ 1135.60,R$ 2750.00
iPhone 11 64GB,2022-04-27 04:00:00,R$ 2460.00,R$ 2660.00,R$ 4953.00
"TV Samsung T5300 43""",2022-04-27 04:00:00,R$ 3000.00,R$ 1948.80,R$ 906.00
Nintendo Switch,2022-04-27 04:00:00,R$ 1376.00,R$ 1729.78,R$ 2500.00
Xbox Series S,2022-04-27 05:00:00,R$ 2017.18,R$ 1714.76,R$ 2475.00
iPhone 11 64GB,2022-04-27 05:00:00,R$ 2460.00,R$ 4282.60,R$ 3070.86
"TV Samsung T5300 43""",2022-04-27 05:00:00,R$ 3000.00,R$ 1948.80,R$ 906.00
Nintendo Switch,2022-04-27 05:00:00,R$ 1376.00,R$ 1729.78,R$ 2350.00
Xbox Series S,2022-04-27 06:00:00,R$ 2017.18,R$ 1491.84,R$ 1905.75
iPhone 11 64GB,2022-04-27 06:00:00,R$ 2460.00,R$ 4282.60,R$ 3869.28
"TV Samsung T5300 43""",2022-04-27 06:00:00,R$ 3000.00,R$ 3000.00,R$ 1313.70
Nintendo Switch,2022-04-27 06:00:00,R$ 2000.00,R$ 1729.78,R$ 1104.50
Xbox Series S,2022-04-27 07:00:00,R$ 1452.37,R$ 1000.00,R$ 2172.55
iPhone 11 64GB,2022-04-27 07:00:00,R$ 2460.00,R$ 6650.00,R$ 4991.38
"TV Samsung T5300 43""",2022-04-27 07:00:00,R$ 1470.00,R$ 3000.00,R$ 1011.55
Nintendo Switch,2022-04-27 07:00:00,R$ 2000.00,R$ 920.00,R$ 1756.16
Xbox Series S,2022-04-27 08:00:00,R$ 1100.00,R$ 1000.00,R$ 2172.55
iPhone 11 64GB,2022-04-27 08:00:00,R$ 2460.00,R$ 6650.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-27 08:00:00,R$ 1200.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-27 08:00:00,R$ 1000.00,R$ 920.00,R$ 1756.16
Xbox Series S,2022-04-27 09:00:00,R$ 1100.00,R$ 1600.00,R$ 1390.44
iPhone 11 64GB,2022-04-27 09:00:00,R$ 2460.00,R$ 6650.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-27 09:00:00,R$ 1200.00,R$ 2130.00,R$ 600.00
Nintendo Switch,2022-04-27 09:00:00,R$ 1000.00,R$ 920.00,R$ 1756.16
Xbox Series S,2022-04-27 10:00:00,R$ 1100.00,R$ 1000.00,R$ 1626.81
iPhone 11 64GB,2022-04-27 10:00:00,R$ 2460.00,R$ 6650.00,R$ 3750.00
"TV Samsung T5300 43""",2022-04-27 10:00:00,R$ 1644.00,R$ 1533.60,R$ 600.00
Nintendo Switch,2022-04-27 10:00:00,R$ 1000.00,R$ 1122.40,R$ 2283.00
Xbox Series S,2022-04-27 11:00:00,R$ 1760.00,R$ 1000.00,R$ 2667.97
iPhone 11 64GB,2022-04-27 11:00:00,R$ 2460.00,R$ 3657.50,R$ 3750.00
"TV Samsung T5300 43""",2022-04-27 11:00:00,R$ 2778.36,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-27 11:00:00,R$ 1750.00,R$ 1919.30,R$ 2500.00
Xbox Series S,2022-04-27 12:00:00,R$ 1760.00,R$ 1000.00,R$ 2667.97
iPhone 11 64GB,2022-04-27 12:00:00,R$ 2460.00,R$ 3657.50,R$ 3000.00
"TV Samsung T5300 43""",2022-04-27 12:00:00,R$ 3000.00,R$ 1200.00,R$ 828.00
Nintendo Switch,2022-04-27 12:00:00,R$ 2000.00,R$ 1919.30,R$ 2500.00
Xbox Series S,2022-04-27 13:00:00,R$ 1100.00,R$ 1420.00,R$ 2750.00
iPhone 11 64GB,2022-04-27 13:00:00,R$ 2460.00,R$ 3657.50,R$ 4920.00
"TV Samsung T5300 43""",2022-04-27 13:00:00,R$ 3000.00,R$ 1200.00,R$ 828.00
Nintendo Switch,2022-04-27 13:00:00,R$ 2000.00,R$ 920.00,R$ 2500.00
Xbox Series S,2022-04-27 14:00:00,R$ 1364.00,R$ 1420.00,R$ 2750.00
iPhone 11 64GB,2022-04-27 14:00:00,R$ 2706.00,R$ 2660.00,R$ 5166.00
"TV Samsung T5300 43""",2022-04-27 14:00:00,R$ 1200.00,R$ 1800.00,R$ 919.08
Nintendo Switch,2022-04-27 14:00:00,R$ 2000.00,R$ 1131.60,R$ 2500.00
Xbox Series S,2022-04-27 15:00:00,R$ 1364.00,R$ 2115.80,R$ 2310.00
iPhone 11 64GB,2022-04-27 15:00:00,R$ 2543.64,R$ 2660.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-27 15:00:00,R$ 1200.00,R$ 1800.00,R$ 1203.99
Nintendo Switch,2022-04-27 15:00:00,R$ 1400.00,R$ 1550.29,R$ 2500.00
Xbox Series S,2022-04-27 16:00:00,R$ 1186.68,R$ 1015.58,R$ 1270.50
iPhone 11 64GB,2022-04-27 16:00:00,R$ 3357.60,R$ 4628.40,R$ 7500.00
"TV Samsung T5300 43""",2022-04-27 16:00:00,R$ 1200.00,R$ 1800.00,R$ 600.00
Nintendo Switch,2022-04-27 16:00:00,R$ 1596.00,R$ 1550.29,R$ 2225.00
Xbox Series S,2022-04-27 17:00:00,R$ 1100.00,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-27 17:00:00,R$ 3357.60,R$ 4628.40,R$ 7500.00
"TV Samsung T5300 43""",2022-04-27 17:00:00,R$ 1200.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-27 17:00:00,R$ 1596.00,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-27 18:00:00,R$ 1100.00,R$ 1000.00,R$ 1243.00
iPhone 11 64GB,2022-04-27 18:00:00,R$ 3357.60,R$ 4998.67,R$ 7500.00
"TV Samsung T5300 43""",2022-04-27 18:00:00,R$ 1644.00,R$ 1272.00,R$ 666.00
Nintendo Switch,2022-04-27 18:00:00,R$ 1675.80,R$ 920.00,R$ 1000.00
Xbox Series S,2022-04-27 19:00:00,R$ 1661.00,R$ 1000.00,R$ 1243.00
iPhone 11 64GB,2022-04-27 19:00:00,R$ 2460.00,R$ 6650.00,R$ 4575.00
"TV Samsung T5300 43""",2022-04-27 19:00:00,R$ 1644.00,R$ 1475.52,R$ 666.00
Nintendo Switch,2022-04-27 19:00:00,R$ 1675.80,R$ 1545.60,R$ 1000.00
Xbox Series S,2022-04-27 20:00:00,R$ 1100.00,R$ 1000.00,R$ 1504.03
iPhone 11 64GB,2022-04-27 20:00:00,R$ 2460.00,R$ 2660.00,R$ 3522.75
"TV Samsung T5300 43""",2022-04-27 20:00:00,R$ 1200.00,R$ 2139.50,R$ 666.00
Nintendo Switch,2022-04-27 20:00:00,R$ 1675.80,R$ 1545.60,R$ 1000.00
Xbox Series S,2022-04-27 21:00:00,R$ 1100.00,R$ 1590.00,R$ 2632.05
iPhone 11 64GB,2022-04-27 21:00:00,R$ 3468.60,R$ 2660.00,R$ 3522.75
"TV Samsung T5300 43""",2022-04-27 21:00:00,R$ 1512.00,R$ 2032.53,R$ 1092.24
Nintendo Switch,2022-04-27 21:00:00,R$ 2000.00,R$ 1545.60,R$ 1000.00
Xbox Series S,2022-04-27 22:00:00,R$ 1408.00,R$ 1000.00,R$ 2750.00
iPhone 11 64GB,2022-04-27 22:00:00,R$ 4127.63,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-27 22:00:00,R$ 1512.00,R$ 1200.00,R$ 1092.24
Nintendo Switch,2022-04-27 22:00:00,R$ 800.00,R$ 1035.55,R$ 1190.00
Xbox Series S,2022-04-27 23:00:00,R$ 1168.64,R$ 1000.00,R$ 2750.00
iPhone 11 64GB,2022-04-27 23:00:00,R$ 4127.63,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-27 23:00:00,R$ 1200.00,R$ 2052.00,R$ 1092.24
Nintendo Switch,2022-04-27 23:00:00,R$ 800.00,R$ 1035.55,R$ 1439.90
Xbox Series S,2022-04-28 00:00:00,R$ 1355.62,R$ 1230.00,R$ 2612.50
iPhone 11 64GB,2022-04-28 00:00:00,R$ 4705.50,R$ 3032.40,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 00:00:00,R$ 1200.00,R$ 2052.00,R$ 600.00
Nintendo Switch,2022-04-28 00:00:00,R$ 800.00,R$ 1418.71,R$ 1439.90
Xbox Series S,2022-04-28 01:00:00,R$ 1192.95,R$ 1230.00,R$ 2612.50
iPhone 11 64GB,2022-04-28 01:00:00,R$ 4705.50,R$ 3396.29,R$ 4080.00
"TV Samsung T5300 43""",2022-04-28 01:00:00,R$ 1200.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-28 01:00:00,R$ 800.00,R$ 1418.71,R$ 1439.90
Xbox Series S,2022-04-28 02:00:00,R$ 1100.00,R$ 1168.50,R$ 2403.50
iPhone 11 64GB,2022-04-28 02:00:00,R$ 4705.50,R$ 4517.06,R$ 4080.00
"TV Samsung T5300 43""",2022-04-28 02:00:00,R$ 1200.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-28 02:00:00,R$ 800.00,R$ 1418.71,R$ 1857.47
Xbox Series S,2022-04-28 03:00:00,R$ 1100.00,R$ 1000.00,R$ 1658.41
iPhone 11 64GB,2022-04-28 03:00:00,R$ 6150.00,R$ 3975.02,R$ 3590.40
"TV Samsung T5300 43""",2022-04-28 03:00:00,R$ 1200.00,R$ 1572.00,R$ 732.00
Nintendo Switch,2022-04-28 03:00:00,R$ 856.00,R$ 1702.45,R$ 1000.00
Xbox Series S,2022-04-28 04:00:00,R$ 1837.00,R$ 1000.00,R$ 1658.41
iPhone 11 64GB,2022-04-28 04:00:00,R$ 2460.00,R$ 6161.27,R$ 3590.40
"TV Samsung T5300 43""",2022-04-28 04:00:00,R$ 1872.00,R$ 1572.00,R$ 1054.08
Nintendo Switch,2022-04-28 04:00:00,R$ 856.00,R$ 1702.45,R$ 1000.00
Xbox Series S,2022-04-28 05:00:00,R$ 1837.00,R$ 1000.00,R$ 1393.07
iPhone 11 64GB,2022-04-28 05:00:00,R$ 2460.00,R$ 3881.60,R$ 3590.40
"TV Samsung T5300 43""",2022-04-28 05:00:00,R$ 1872.00,R$ 1200.00,R$ 1054.08
Nintendo Switch,2022-04-28 05:00:00,R$ 856.00,R$ 1872.69,R$ 1610.00
Xbox Series S,2022-04-28 06:00:00,R$ 2369.73,R$ 1000.00,R$ 1393.07
iPhone 11 64GB,2022-04-28 06:00:00,R$ 3198.00,R$ 3493.44,R$ 3590.40
"TV Samsung T5300 43""",2022-04-28 06:00:00,R$ 1478.88,R$ 1200.00,R$ 664.07
Nintendo Switch,2022-04-28 06:00:00,R$ 1361.04,R$ 1872.69,R$ 1000.00
Xbox Series S,2022-04-28 07:00:00,R$ 1421.84,R$ 1000.00,R$ 2047.81
iPhone 11 64GB,2022-04-28 07:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 07:00:00,R$ 1478.88,R$ 1584.00,R$ 664.07
Nintendo Switch,2022-04-28 07:00:00,R$ 843.84,R$ 2209.78,R$ 1060.00
Xbox Series S,2022-04-28 08:00:00,R$ 1663.55,R$ 1000.00,R$ 2047.81
iPhone 11 64GB,2022-04-28 08:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 08:00:00,R$ 1316.20,R$ 1869.12,R$ 664.07
Nintendo Switch,2022-04-28 08:00:00,R$ 800.00,R$ 1613.14,R$ 1000.00
Xbox Series S,2022-04-28 09:00:00,R$ 2328.97,R$ 1000.00,R$ 1100.00
iPhone 11 64GB,2022-04-28 09:00:00,R$ 4083.60,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 09:00:00,R$ 1316.20,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-28 09:00:00,R$ 952.00,R$ 1871.24,R$ 1730.00
Xbox Series S,2022-04-28 10:00:00,R$ 2750.00,R$ 1690.00,R$ 1100.00
iPhone 11 64GB,2022-04-28 10:00:00,R$ 2776.85,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 10:00:00,R$ 1200.00,R$ 3000.00,R$ 600.00
Nintendo Switch,2022-04-28 10:00:00,R$ 952.00,R$ 2300.00,R$ 2500.00
Xbox Series S,2022-04-28 11:00:00,R$ 2750.00,R$ 1047.80,R$ 1100.00
iPhone 11 64GB,2022-04-28 11:00:00,R$ 3054.53,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 11:00:00,R$ 1200.00,R$ 1680.00,R$ 600.00
Nintendo Switch,2022-04-28 11:00:00,R$ 800.00,R$ 2300.00,R$ 2500.00
Xbox Series S,2022-04-28 12:00:00,R$ 1100.00,R$ 1184.01,R$ 1100.00
iPhone 11 64GB,2022-04-28 12:00:00,R$ 3054.53,R$ 2660.00,R$ 4680.00
"TV Samsung T5300 43""",2022-04-28 12:00:00,R$ 1836.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-28 12:00:00,R$ 1000.00,R$ 2300.00,R$ 2500.00
Xbox Series S,2022-04-28 13:00:00,R$ 1848.00,R$ 1077.45,R$ 1100.00
iPhone 11 64GB,2022-04-28 13:00:00,R$ 2460.00,R$ 2660.00,R$ 5616.00
"TV Samsung T5300 43""",2022-04-28 13:00:00,R$ 1200.00,R$ 1200.00,R$ 600.00
Nintendo Switch,2022-04-28 13:00:00,R$ 920.00,R$ 2300.00,R$ 2500.00
Xbox Series S,2022-04-28 14:00:00,R$ 1496.88,R$ 1000.00,R$ 1584.00
iPhone 11 64GB,2022-04-28 14:00:00,R$ 3517.80,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 14:00:00,R$ 1200.00,R$ 2028.00,R$ 600.00
Nintendo Switch,2022-04-28 14:00:00,R$ 920.00,R$ 2300.00,R$ 2500.00
Xbox Series S,2022-04-28 15:00:00,R$ 1496.88,R$ 1000.00,R$ 1584.00
iPhone 11 64GB,2022-04-28 15:00:00,R$ 4819.39,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 15:00:00,R$ 1200.00,R$ 2028.00,R$ 600.00
Nintendo Switch,2022-04-28 15:00:00,R$ 920.00,R$ 2300.00,R$ 2500.00
Xbox Series S,2022-04-28 16:00:00,R$ 1100.00,R$ 1290.00,R$ 1584.00
iPhone 11 64GB,2022-04-28 16:00:00,R$ 5542.29,R$ 2793.00,R$ 5070.00
"TV Samsung T5300 43""",2022-04-28 16:00:00,R$ 1200.00,R$ 2271.36,R$ 948.00
Nintendo Switch,2022-04-28 16:00:00,R$ 800.00,R$ 2300.00,R$ 2500.00
Xbox Series S,2022-04-28 17:00:00,R$ 1639.00,R$ 1290.00,R$ 1584.00
iPhone 11 64GB,2022-04-28 17:00:00,R$ 4600.10,R$ 2793.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-28 17:00:00,R$ 1272.00,R$ 3000.00,R$ 1500.00
Nintendo Switch,2022-04-28 17:00:00,R$ 1008.00,R$ 1863.00,R$ 2500.00
Xbox Series S,2022-04-28 18:00:00,R$ 1147.30,R$ 1000.00,R$ 1584.00
iPhone 11 64GB,2022-04-28 18:00:00,R$ 6150.00,R$ 2660.00,R$ 4110.00
"TV Samsung T5300 43""",2022-04-28 18:00:00,R$ 1200.00,R$ 3000.00,R$ 1500.00
Nintendo Switch,2022-04-28 18:00:00,R$ 1713.60,R$ 1863.00,R$ 2050.00
Xbox Series S,2022-04-28 19:00:00,R$ 1881.57,R$ 1620.00,R$ 1100.00
iPhone 11 64GB,2022-04-28 19:00:00,R$ 6150.00,R$ 3750.60,R$ 4110.00
"TV Samsung T5300 43""",2022-04-28 19:00:00,R$ 1200.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-28 19:00:00,R$ 1713.60,R$ 2300.00,R$ 2050.00
Xbox Series S,2022-04-28 20:00:00,R$ 1881.57,R$ 2025.00,R$ 1397.00
iPhone 11 64GB,2022-04-28 20:00:00,R$ 6150.00,R$ 3750.60,R$ 4110.00
"TV Samsung T5300 43""",2022-04-28 20:00:00,R$ 1200.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-28 20:00:00,R$ 800.00,R$ 2300.00,R$ 2050.00
Xbox Series S,2022-04-28 21:00:00,R$ 1881.57,R$ 2126.25,R$ 1397.00
iPhone 11 64GB,2022-04-28 21:00:00,R$ 3936.00,R$ 4725.76,R$ 4110.00
"TV Samsung T5300 43""",2022-04-28 21:00:00,R$ 1200.00,R$ 1824.00,R$ 1500.00
Nintendo Switch,2022-04-28 21:00:00,R$ 800.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-28 22:00:00,R$ 1881.57,R$ 2500.00,R$ 1494.79
iPhone 11 64GB,2022-04-28 22:00:00,R$ 5471.04,R$ 6650.00,R$ 3288.00
"TV Samsung T5300 43""",2022-04-28 22:00:00,R$ 2100.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-28 22:00:00,R$ 1256.00,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-28 23:00:00,R$ 1100.00,R$ 1000.00,R$ 2227.24
iPhone 11 64GB,2022-04-28 23:00:00,R$ 5471.04,R$ 6650.00,R$ 3288.00
"TV Samsung T5300 43""",2022-04-28 23:00:00,R$ 2100.00,R$ 1992.00,R$ 1500.00
Nintendo Switch,2022-04-28 23:00:00,R$ 1720.72,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-29 00:00:00,R$ 1518.00,R$ 1000.00,R$ 2115.88
iPhone 11 64GB,2022-04-29 00:00:00,R$ 2460.00,R$ 5320.00,R$ 4964.88
"TV Samsung T5300 43""",2022-04-29 00:00:00,R$ 3000.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-29 00:00:00,R$ 1720.72,R$ 2300.00,R$ 1000.00
Xbox Series S,2022-04-29 01:00:00,R$ 1518.00,R$ 1000.00,R$ 1565.75
iPhone 11 64GB,2022-04-29 01:00:00,R$ 2460.00,R$ 2660.00,R$ 5213.12
"TV Samsung T5300 43""",2022-04-29 01:00:00,R$ 3000.00,R$ 1620.00,R$ 1500.00
Nintendo Switch,2022-04-29 01:00:00,R$ 1720.72,R$ 2300.00,R$ 1470.00
Xbox Series S,2022-04-29 02:00:00,R$ 1609.08,R$ 1530.00,R$ 1487.46
iPhone 11 64GB,2022-04-29 02:00:00,R$ 2927.40,R$ 4282.60,R$ 4431.16
"TV Samsung T5300 43""",2022-04-29 02:00:00,R$ 1200.00,R$ 1620.00,R$ 1500.00
Nintendo Switch,2022-04-29 02:00:00,R$ 911.98,R$ 1035.00,R$ 1470.00
Xbox Series S,2022-04-29 03:00:00,R$ 1609.08,R$ 1530.00,R$ 2246.07
iPhone 11 64GB,2022-04-29 03:00:00,R$ 2927.40,R$ 4282.60,R$ 7500.00
"TV Samsung T5300 43""",2022-04-29 03:00:00,R$ 1752.00,R$ 1620.00,R$ 1500.00
Nintendo Switch,2022-04-29 03:00:00,R$ 1003.18,R$ 1035.00,R$ 1000.00
Xbox Series S,2022-04-29 04:00:00,R$ 1609.08,R$ 1000.00,R$ 2246.07
iPhone 11 64GB,2022-04-29 04:00:00,R$ 2460.00,R$ 6650.00,R$ 7500.00
"TV Samsung T5300 43""",2022-04-29 04:00:00,R$ 1200.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-29 04:00:00,R$ 1003.18,R$ 1035.00,R$ 1000.00
Xbox Series S,2022-04-29 05:00:00,R$ 1609.08,R$ 1000.00,R$ 2358.37
iPhone 11 64GB,2022-04-29 05:00:00,R$ 2460.00,R$ 2660.00,R$ 3000.00
"TV Samsung T5300 43""",2022-04-29 05:00:00,R$ 1200.00,R$ 1200.00,R$ 1500.00
Nintendo Switch,2022-04-29 05:00:00,R$ 800.00,R$ 1800.90,R$ 1000.00
Xbox Series S,2022-04-29 06:00:00,R$ 1100.00,R$ 1000.00,R$ 2641.37
iPhone 11 64GB,2022-04-29 06:00:00,R$ 2460.00,R$ 2660.00,R$ 5190.00
